ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI,
1,Women,Canada,Meghan,Agosta,148,5'7,2/12/87,Ruthven,Ont.,Forward,38,5.58,67.00,23,
2,Women,Canada,Rebecca,Johnston,148,5'9,9/24/89,Sudbury,Ont.,Forward,35,5.75,69.00,22,
3,Women,Canada,Laura,Stacey,156,5'10,5/5/94,Kleinburg,Ont.,Forward,30,5.83,70.00,22,
4,Women,Canada,Jennifer,Wakefield,172,5'10,6/15/89,Pickering,Ont.,Forward,35,5.83,70.00,25,
5,Women,Canada,Jillian,Saulnier,144,5'5,3/7/92,Halifax,N.S.,Forward,33,5.42,65.00,24,
6,Women,Canada,Mélodie,Daoust,159,5'6,1/7/92,Valleyfield,Que.,Forward,33,5.50,66.00,26,
7,Women,Canada,Bailey,Bram,150,5'8,9/5/90,St. Anne,Man.,Forward,34,5.67,68.00,23,
8,Women,Canada,Brianne,Jenner,156,5'9,5/4/91,Oakville,Ont.,Forward,33,5.75,69.00,23,
9,Women,Canada,Sarah,Nurse,140,5'8,1/4/95,Hamilton,Ont.,Forward,30,5.67,68.00,21,
10,Women,Canada,Haley,Irwin,170,5'7,6/6/88,Thunder Bay,Ont.,Forward,36,5.58,67.00,27,
11,Women,Canada,Natalie,Spooner,180,5'10,10/17/90,Scarborough,Ont.,Forward,34,5.83,70.00,26,
12,Women,Canada,Emily,Clark,130,5'7,11/28/95,Saskatoon,Sask.,Forward,29,5.58,67.00,20,
13,Women,Canada,Marie-Philip,Poulin,160,5'7,3/28/91,Beauceville,Que.,Forward,34,5.58,67.00,25,
14,Women,Canada,Blayre,Turnbull,155,5'7,7/15/93,Stellarton,N.S.,Forward,31,5.58,67.00,24,
15,Women,Canada,Jocelyne,Larocque,139,5'6,5/19/88,Ste. Anne,Man.,Defence,36,5.50,66.00,22,
16,Women,Canada,Brigette,Lacquette,180,5'6,10/11/92,Mallard,Man.,Defence,32,5.50,66.00,29,
17,Women,Canada,Lauriane,Rougeau,167,5'8,4/12/90,Beaconsfield,Que.,Defence,35,5.67,68.00,25,
18,Women,Canada,Laura,Fortino,137,5'4,1/30/91,Hamilton,Ont.,Defence,34,5.33,64.00,24,
19,Women,Canada,Meaghan,Mikkelson,139,5'9,1/4/85,St. Albert,Alta.,Defence,40,5.75,69.00,21,
20,Women,Canada,Renata,Fast,144,5'6,10/6/94,Burlington,Ont.,Defence,30,5.50,66.00,23,
21,Women,Canada,Shannon,Szabados,146,5'8,8/6/86,Edmonton,Alta.,Goalie,38,5.67,68.00,22,
22,Women,Canada,Geneviève,Lacasse,136,5'8,5/5/89,Kingston,Ont.,Goalie,35,5.67,68.00,21,
23,Women,Canada,Ann-Renée,Desbiens,160,5'9,4/10/94,La Malbaie,Que.,Goalie,31,5.75,69.00,24,
24,Men,Canada,Gilbert,Brulé,190,5'11,1/1/87,Vancouver,B.C.,Forward,38,5.92,71.00,26,
25,Men,Canada,Wojtek,Wolski,220,6'3,2/24/86,Toronto,Ont.,Forward,39,6.25,75.00,27,
26,Men,Canada,Derek,Roy,187,5'9,5/4/83,Rockland,Ont.,Forward,41,5.75,69.00,28,
27,Men,Canada,Chris,Kelly,194,6'0,11/11/80,Toronto,Ont.,Forward,44,6.00,72.00,26,
28,Men,Canada,Rob,Klinkhammer,214,6'3,8/12/86,Lethbridge,Alta.,Forward,38,6.25,75.00,27,
29,Men,Canada,Brandon,Kozun,170,5'8,3/8/90,Calgary,Alta.,Forward,35,5.67,68.00,26,
30,Men,Canada,Quinton,Howden,190,6'2,1/21/92,Oakbank,Man.,Forward,33,6.17,74.00,24,
31,Men,Canada,René,Bourque,216,6'2,12/10/81,Lac La Biche,Alta.,Forward,43,6.17,74.00,28,
32,Men,Canada,Andrew,Ebbett,176,5'9,1/2/83,Vernon,B.C.,Forward,42,5.75,69.00,26,
33,Men,Canada,Mason,Raymond,179,6'1,9/17/85,Cochrane,Alta.,Forward,39,6.08,73.00,24,
